PMID	DOI	dateOfCreation	firstIndexDate	fullTextReceivedDate	dateOfRevision	electronicPublicationDate	firstPublicationDate	ML_Check	Affs
30311379	10.1002/humu.23625	2018	2018	2019	2019		2018	True	European Molecular Biology Laboratory, European Bioinformatics Institute, Wellcome Genome Campus, Hinxton, Cambridge, United Kingdom.
29987844	10.1002/ijc.31725	2018	2018		2019	2018	2018	True	Structural and Computational Biology Unit, European Molecular Biology Laboratory (EMBL), Heidelberg, Germany.
30033658	10.1002/jmr.2754	2018	2018		2020	2018	2018	True	European Molecular Biology Laboratory, European Bioinformatics Institute, Wellcome Genome Campus, Hinxton, Cambridgeshire, UK.
30251339	10.1002/minf.201800028	2018	2018		2019	2018	2018	True	European Molecular Biology Laboratory - European Bioinformatics Institute, Wellcome Trust Genome Campus, Hinxton, Cambridge, CB10 1SD, UK.
29882266	10.1002/pmic.201700454	2018	2018	2018	2019		2018	True	European Molecular Biology Laboratory, European Bioinformatics Institute (EMBL-EBI), Wellcome Trust Genome Campus, Hinxton, Cambridge, CB10 1SD, UK.
29791771	10.1002/pmic.201800110	2018	2018	2018	2019		2018	True	European Molecular Biology Laboratory, European Bioinformatics Institute (EMBL-EBI), Wellcome Trust Genome Campus, Hinxton, Cambridge, CB10 1SD, UK.
30242933	10.1002/pro.3512	2018	2018	2020	2020	2018	2018	True	European Molecular Biology Laboratory, EMBL Hamburg Unit, c/o DESY, Notkestrasse 85, D-22607, Hamburg, Germany.
29722065	10.1002/prot.25523	2018	2018		2019	2018	2018	True	Hamburg Unit c/o DESY, European Molecular Biology Laboratory (EMBL), Notkestrasse 85, Hamburg, 22603, Germany.
30033588	10.1002/psp4.12339	2018	2018	2018	2019	2018	2018	True	EMBL - European Bioinformatics Institute, Cambridge, UK.
29130204	10.1007/978-1-4939-7213-5_18	2017	2017		2018		2018	True	European Molecular Biology Laboratory (EMBL) Heidelberg, Meyerhof Str. 1, 69117, Heidelberg, Germany.
29130193	10.1007/978-1-4939-7213-5_7	2017	2017		2018		2018	True	Developmental Biology Unit, European Molecular Biology Laboratory, Meyerhofstrasse 1, 69117, Heidelberg, Germany. kaia.achim@embl.de. /// Developmental Biology Unit, European Molecular Biology Laboratory, Meyerhofstrasse 1, 69117, Heidelberg, Germany. /// European Bioinformatics Institute (EMBL-EBI), European Molecular Biology Laboratory, Hinxton, Cambridgeshire, CB10 1SD, UK.
29344887	10.1007/978-1-4939-7493-1_6	2018	2018	2018	2018		2018	False	
29405006	10.1007/978-1-4939-7574-7_19	2018	2018		2018		2018	True	Structural and Computational Biology Unit & Cell Biology and Biophysics Unit, EMBL, Meyerhofstrasse 1, 69117, Heidelberg, Germany. /// Structural and Computational Biology Unit & Cell Biology and Biophysics Unit, EMBL, Meyerhofstrasse 1, 69117, Heidelberg, Germany. lemke@embl.de.
29405009	10.1007/978-1-4939-7574-7_22	2018	2018		2018		2018	True	Structural and Computational Biology Unit & Cell Biology and Biophysics Unit, European Molecular Biology Laboratory, Meyerhofstrasse 1, Heidelberg, 69117, Germany.
29761466	10.1007/978-1-4939-7737-6_14	2018	2018	2019	2019		2018	True	European Molecular Biology Laboratory, European Bioinformatics Institute, Cambridge, UK.
29761467	10.1007/978-1-4939-7737-6_15	2018	2018		2019		2018	True	European Molecular Biology Laboratory, European Bioinformatics Institute (EMBL-EBI), Hinxton, Cambridge, UK. /// European Molecular Biology Laboratory, European Bioinformatics Institute (EMBL-EBI), Hinxton, Cambridge, UK. kevin.howe@wormbase.org.
29761458	10.1007/978-1-4939-7737-6_6	2018	2018		2019		2018	True	European Molecular Biology Laboratory, European Bioinformatics Institute, Cambridge, UK. /// European Molecular Biology Laboratory, European Bioinformatics Institute, Cambridge, UK. emily@ebi.ac.uk.
29594775	10.1007/978-1-4939-7756-7_12	2018	2018		2019		2018	True	European Molecular Biology Laboratory, European Bioinformatics Institute, Cambridge, UK.
29594767	10.1007/978-1-4939-7756-7_4	2018	2018		2019		2018	False	
29605918	10.1007/978-1-4939-7759-8_14	2018	2018		2019		2018	True	Cell Biology and Biophysics Unit, European Molecular Biology Laboratory, Heidelberg, Germany. /// Cell Biology and Biophysics Unit, European Molecular Biology Laboratory, Heidelberg, Germany. jonas.ries@embl.de.
29605928	10.1007/978-1-4939-7759-8_24	2018	2018		2019		2018	True	European Molecular Biology Laboratories, European Bioinformatics Institute (EMBL-EBI), Wellcome Genome Campus, Hinxton, Cambridge, CB10 1SD, Cambridgeshire, UK. bmeldal@ebi.ac.uk. /// European Molecular Biology Laboratories, European Bioinformatics Institute (EMBL-EBI), Wellcome Genome Campus, Hinxton, Cambridge, CB10 1SD, Cambridgeshire, UK.
29605931	10.1007/978-1-4939-7759-8_27	2018	2018		2019		2018	True	European Molecular Biology Laboratory, European Bioinformatics Institute (EMBL-EBI), Cambridge, UK. moal@ebi.ac.uk.
29797254	10.1007/978-1-4939-7865-6_7	2018	2018		2019		2018	True	Genomics Core Facility, European Molecular Biology Laboratory, Heidelberg, Germany.
30421407	10.1007/978-1-4939-8618-7_11	2018	2018		2019		2018	False	
30242677	10.1007/978-1-4939-8730-6_2	2018	2018		2019		2018	True	Centre for Structural Systems Biology (CSSB), DESY and European Molecular Biology Laboratory Hamburg, Hamburg, Germany. /// Centre for Structural Systems Biology (CSSB), DESY and European Molecular Biology Laboratory Hamburg, Hamburg, Germany. christian.loew@embl-hamburg.de.
30100619	10.1007/s00040-018-0624-9	2018	2018	2018	2018	2018	2018	True	5Structural and Computational Biology Unit, European Molecular Biology Laboratory, 69117 Heidelberg, Germany.
30171304	10.1007/s00115-018-0601-6	2018	2018		2019		2019	True	Europäisches Laboratorium für Molekularbiologie, EMBL, Heidelberg, Deutschland.
29332150	10.1007/s00248-017-1140-6	2018	2018		2019	2018	2018	False	
30483885	10.1007/s00294-018-0911-z	2018	2018		2019	2018	2018	False	
29445858	10.1007/s00520-018-4095-3	2018	2018		2019	2018	2018	True	Genome Biology, European Molecular Biology Laboratory (EMBL), Meyerhofstraße 1, 69117, Heidelberg, Germany.
29992390	10.1007/s10571-018-0602-9	2018	2018		2019	2018	2018	False	
30100824	10.1007/s10592-018-1072-9	2018	2018	2018	2019	2018	2018	True	1European Molecular Biology Laboratory, European Bioinformatics Institute (EMBL-EBI), Wellcome Genome Campus, Hinxton, Cambridge, CB10 1SD UK.
29464466	10.1007/s10822-018-0107-0	2018	2018		2019	2018	2018	True	The European Bioinformatics Institute (EMBL-EBI), Wellcome Genome Campus, Cambridge, CB10 1SD, UK.
29446000	10.1007/s10911-017-9387-6	2018	2018		2019	2018	2017	True	European Molecular Biology Laboratories, Heidelberg, 69117, Germany.
29706852	10.1007/s11306-017-1314-8	2018	2018	2018	2019	2018	2018	True	Genome Biology Unit, European Molecular Biology Laboratory, Heidelberg, Germany.
30830320	10.1007/s11306-018-1319-y	2019	2019		2019	2018	2018	True	European Molecular Biology Laboratory, European Bioinformatics Institute (EMBL-EBI), Cambridge, CB10 1SD, UK.
28488209	10.1007/s12035-017-0564-9	2017	2017		2019	2017	2017	True	Mouse Biology Unit, European Molecular Biology Laboratory (EMBL), Monterotondo Scalo, Rome, Italy.
29417477	10.1007/s12035-018-0925-z	2018	2018		2019	2018	2018	True	Mouse Biology Unit, European Molecular Biology Laboratory (EMBL), Monterotondo Scalo, Rome, Italy.
29736736	10.1007/s12035-018-1038-4	2018	2018	2019	2019	2018	2018	True	European Molecular Biology Laboratory (EMBL), Monterotondo Outstation, Rome, Italy.
30393824	10.1007/s12079-018-0491-1	2018	2018	2018	2020	2018	2018	True	HUGO Gene Nomenclature Committee, EMBL-EBI, Hinxton, CB10 1SD, UK.
29453713	10.1007/s12104-018-9811-x	2018	2018		2019	2018	2018	True	Cell Biology and Biophysics Unit, European Molecular Biology Laboratory, Meyerhofstraße 1, 69117, Heidelberg, Germany.
30478692	10.1007/s12192-018-0948-4	2018	2018	2019	2019	2018	2018	True	European Molecular Biology Laboratory, Heidelberg, Germany.
30306530	10.1007/s12551-018-0464-x	2018	2018	2018	2018	2018	2018	True	Structural and Computational Biology Unit, European Molecular Biology Laboratory Heidelberg, Meyerhofstrasse 1, 69126, Heidelberg, Germany. pchen@embl.de. /// Structural and Computational Biology Unit, European Molecular Biology Laboratory Heidelberg, Meyerhofstrasse 1, 69126, Heidelberg, Germany. janosch.hennig@embl.de.
29778738	10.1016/S1470-2045(18)30204-3	2018	2018	2019	2019	2018	2018	True	European Molecular Biology Laboratory (EMBL), Genome Biology Unit, Heidelberg, Germany.
29753700	10.1016/S1470-2045(18)30242-0	2018	2018	2018	2019	2018	2018	True	European Molecular Biology Laboratory, Genome Biology Unit, Heidelberg, Germany. /// Biotech Research and Innovation Centre, Copenhagen, Denmark; Finsen Laboratory, Rigshospitalet, University of Copenhagen, Copenhagen, Denmark; European Molecular Biology Laboratory, Genome Biology Unit, Heidelberg, Germany.
NA	10.1016/S1470-2045(18)30425-X							NA	NA
29957209	10.1016/bs.mcb.2018.03.030	2018	2018		2018	2018	2018	True	European Molecular Biology Laboratory (EMBL), Heidelberg, Germany. /// European Molecular Biology Laboratory (EMBL), Heidelberg, Germany. Electronic address: jan.ellenberg@embl.de.
29957211	10.1016/bs.mcb.2018.03.031	2018	2018		2018	2018	2018	True	Cell Biology and Biophysics Unit, European Molecular Biology Laboratory (EMBL), Heidelberg, Germany. /// Electron Microscopy Core Facility, European Molecular Biology Laboratory (EMBL), Heidelberg, Germany. /// Cell Biology and Biophysics Unit, European Molecular Biology Laboratory (EMBL), Heidelberg, Germany; Electron Microscopy Core Facility, European Molecular Biology Laboratory (EMBL), Heidelberg, Germany. /// Cell Biology and Biophysics Unit, European Molecular Biology Laboratory (EMBL), Heidelberg, Germany. Electronic address: lenart@embl.de.
30471692	10.1016/bs.mie.2018.08.034	2018	2018		2019	2018	2018	True	Structural and Computational Biology Unit & Cell Biology and Biophysics Unit, European Molecular Biology Laboratory (EMBL), Heidelberg, Germany. /// Structural and Computational Biology Unit & Cell Biology and Biophysics Unit, European Molecular Biology Laboratory (EMBL), Heidelberg, Germany; Biocenter, Departments of Biology and Chemistry, Pharmacy and Geosciences, Johannes Gutenberg-University Mainz, Mainz, Germany; Institute of Molecular Biology (IMB), Mainz, Germany. Electronic address: edlemke@uni-mainz.de.
30145218	10.1016/j.ab.2018.08.013	2018	2018		2019	2018	2018	True	European Molecular Biology Laboratory, European Bioinformatics Institute (EMBL-EBI), Wellcome Trust Genome Campus, Hinxton, United Kingdom.
29859403	10.1016/j.aquatox.2018.05.017	2018	2018		2018	2018	2018	True	EMBL-EBI, Wellcome Genome Campus, Hinxton, Cambridgeshire, CB10 1SD, United Kingdom.
30385318	10.1016/j.biochi.2018.10.017	2018	2018		2019	2018	2018	True	EMBL Grenoble, 71 avenue des Martyrs, CS 90181, 38042, Grenoble Cedex 9, France.
30502967	10.1016/j.biomaterials.2018.10.020	2018	2018		2019	2018	2018	True	European Molecular Biology Laboratory (EMBL) Hamburg Outstation c/o DESY, D-22603, Hamburg, Germany.
29694868	10.1016/j.bpj.2018.02.040	2018	2018	2019	2019		2018	True	European Molecular Biology Laboratory, Grenoble Outstation, Grenoble, France.
29874600	10.1016/j.bpj.2018.04.018	2018	2018	2019	2019		2018	True	European Molecular Biology Laboratory, Hamburg, Germany. Electronic address: franke@embl-hamburg.de. /// European Molecular Biology Laboratory, Hamburg, Germany.
30078747	10.1016/j.ccell.2018.07.001	2018	2018		2019	2018	2018	True	European Molecular Biology Laboratory, European Bioinformatics Institute, Hinxton, Cambridge, UK.
30537516	10.1016/j.ccell.2018.10.016	2018	2018		2019		2018	True	European Molecular Biology Laboratory (EMBL), Genome Biology Unit, 69120 Heidelberg, Germany. /// Centre for Molecular Medicine Norway, Nordic European Molecular Biology Laboratory Partnership, Forskningsparken, University of Oslo, 0316 Oslo, Norway; Institute for Cancer Genetics and Informatics, Oslo University Hospital, 0316 Oslo, Norway; Department of Core Facilities, Institute for Cancer Research, Oslo University Hospital, 0316 Oslo, Norway. /// European Molecular Biology Laboratory (EMBL), Genome Biology Unit, 69120 Heidelberg, Germany. Electronic address: korbel@embl.de. /// Finsen Laboratory, Rigshospitalet, DK-2200, Copenhagen, Denmark; Biotech Research & Innovation Centre (BRIC), University of Copenhagen, DK-2200, Copenhagen, Denmark; European Molecular Biology Laboratory (EMBL), Genome Biology Unit, 69120 Heidelberg, Germany; Charité Universitätsmedizin Berlin, Charitéplatz 1, D-10117 Berlin, Germany. Electronic address: joachim.weischenfeldt@bric.ku.dk.
30595504	10.1016/j.ccell.2018.11.014	2019	2019	2020	2020	2018	2018	True	Hopp-Children's Cancer Center at the NCT Heidelberg (KiTZ), 69120 Heidelberg, Germany; Division of Pediatric Neurooncology, German Cancer Research Center (DKFZ) and German Cancer Consortium (DKTK), Im Neuenheimer Feld 280, 69120 Heidelberg, Germany; European Molecular Biology Laboratory, Genome Biology Unit, 69117 Heidelberg, Germany; Izmir Biomedicine and Genome Center, 35340 Izmir, Turkey. /// European Molecular Biology Laboratory, Genome Biology Unit, 69117 Heidelberg, Germany.
30015291	10.1016/j.ceb.2018.06.013	2018	2018		2019	2018	2018	True	Dept. of Physiology & Pharmacology, Oregon Health and Science University (OHSU), Portland, OR, USA; European Molecular Biology Laboratory (EMBL), Cell Biology and Biophysics Unit, 69117 Heidelberg, Germany. Electronic address: schulcar@ohsu.edu.
29474908	10.1016/j.cell.2018.01.026	2018	2018	2018	2019		2018	True	Developmental Biology Unit, European Molecular Biology Laboratory, 69117 Heidelberg, Germany, European Molecular Biology Laboratory, 69117 Heidelberg, Germany; Genome Biology Unit, European Molecular Biology Laboratory, 69117 Heidelberg, Germany. /// Developmental Biology Unit, European Molecular Biology Laboratory, 69117 Heidelberg, Germany, European Molecular Biology Laboratory, 69117 Heidelberg, Germany. /// Genome Biology Unit, European Molecular Biology Laboratory, 69117 Heidelberg, Germany. /// Developmental Biology Unit, European Molecular Biology Laboratory, 69117 Heidelberg, Germany, European Molecular Biology Laboratory, 69117 Heidelberg, Germany. Electronic address: aulehla@embl.de.
29551266	10.1016/j.cell.2018.02.030	2018	2018	2018	2019	2018	2018	True	Cellzome GmbH, GlaxoSmithKline, Meyerhofstrasse 1, 69117 Heidelberg, Germany; Genome Biology Unit, European Molecular Biology Laboratory, 69117 Heidelberg, Germany. Electronic address: mikhail.savitski@embl.de. /// Genome Biology Unit, European Molecular Biology Laboratory, 69117 Heidelberg, Germany.
29551265	10.1016/j.cell.2018.02.032	2018	2018	2018	2019	2018	2018	True	Structural and Computational Biology Unit, European Molecular Biology Laboratory (EMBL), 69117 Heidelberg, Germany. /// Structural and Computational Biology Unit, European Molecular Biology Laboratory (EMBL), 69117 Heidelberg, Germany; Hamburg Outstation, European Molecular Biology Laboratory, 22603 Hamburg, Germany. /// Structural and Computational Biology Unit, European Molecular Biology Laboratory (EMBL), 69117 Heidelberg, Germany; European Bioinformatics Institute (EMBL-EBI), European Molecular Biology Laboratory, Hinxton CB10 1SD, UK. /// Structural and Computational Biology Unit, European Molecular Biology Laboratory (EMBL), 69117 Heidelberg, Germany; Izmir Biomedicine and Genome Center (IBG), 35340 Izmir, Turkey. /// Structural and Computational Biology Unit, European Molecular Biology Laboratory (EMBL), 69117 Heidelberg, Germany; Max Delbrück Center for Molecular Medicine, 13125 Berlin, Germany; Molecular Medicine Partnership Unit, 69120 Heidelberg, Germany; Department of Bioinformatics, Biocenter, University of Würzburg, 97074 Würzburg, Germany. /// Structural and Computational Biology Unit, European Molecular Biology Laboratory (EMBL), 69117 Heidelberg, Germany. Electronic address: barabas@embl.de.
29522742	10.1016/j.cell.2018.02.044	2018	2018		2019		2018	True	European Molecular Biology Laboratory, Structural and Computational Biology Unit, 69117 Heidelberg, Germany. /// European Molecular Biology Laboratory, Structural and Computational Biology Unit, 69117 Heidelberg, Germany; Molecular Medicine Partnership Unit, University of Heidelberg and European Molecular Biology Laboratory, 69120 Heidelberg, Germany; Max-Delbrück Center for Molecular Medicine in the Helmholtz Association, 13125 Berlin, Germany; Department of Bioinformatics, Biocenter, University of Würzburg, 97074 Würzburg, Germany. Electronic address: bork@embl.de.
29706546	10.1016/j.cell.2018.03.053	2018	2018	2018	2019	2018	2018	True	Genome Biology Unit, European Molecular Biology Laboratory, 69117 Heidelberg, Germany. /// Structural and Computational Biology Unit, European Molecular Biology Laboratory, 69117 Heidelberg, Germany. /// Proteomics Core Facility, European Molecular Biology Laboratory, 69117 Heidelberg, Germany. /// Structural and Computational Biology Unit, European Molecular Biology Laboratory, 69117 Heidelberg, Germany; Max Delbrück Center for Molecular Medicine, 13125 Berlin, Germany; Molecular Medicine Partnership Unit, 69120 Heidelberg, Germany; Department of Bioinformatics, Biocenter, University of Würzburg, 97074 Würzburg, Germany. Electronic address: bork@embl.de. /// Structural and Computational Biology Unit, European Molecular Biology Laboratory, 69117 Heidelberg, Germany; Cell Biology and Biophysics Unit, European Molecular Biology Laboratory 69117 Heidelberg, Germany. Electronic address: martin.beck@embl.de. /// Genome Biology Unit, European Molecular Biology Laboratory, 69117 Heidelberg, Germany. Electronic address: mikhail.savitski@embl.de.
29677508	10.1016/j.cell.2018.04.002	2018	2018		2019		2018	True	European Molecular Biology Laboratory, Meyerhofstrasse 1, 69117 Heidelberg, Germany. /// Departments of Biology and Chemistry, Pharmacy and Geosciences, Johannes Gutenberg-University Mainz, Johann-Joachim-Becher-Weg 7, 55128 Mainz, Germany; Institute of Molecular Biology, Ackermannweg 4, 55128 Mainz, Germany; European Molecular Biology Laboratory, Meyerhofstrasse 1, 69117 Heidelberg, Germany. Electronic address: edlemke@uni-mainz.de.
29961575	10.1016/j.cell.2018.05.050	2018	2018	2019	2019	2018	2018	True	Departments of Biology and Chemistry, Pharmacy, and Geosciences, Johannes Gutenberg-University Mainz, Johannes-von-Mullerweg 6, 55128 Mainz, Germany; Institute of Molecular Biology (IMB), Ackermannweg 4, 55128 Mainz, Germany; Structural and Computational Biology Unit, European Molecular Biology Laboratory (EMBL), Meyerhofstrasse 1, 69117 Heidelberg, Germany.
30057119	10.1016/j.cell.2018.06.032	2018	2018	2018	2019	2018	2018	True	Cell Biology and Biophysics Unit, European Molecular Biology Laboratory (EMBL), Meyerhofstrasse 1, 69117 Heidelberg, Germany. /// Cell Biology and Biophysics Unit, European Molecular Biology Laboratory (EMBL), Meyerhofstrasse 1, 69117 Heidelberg, Germany; Collaboration for joint PhD degree between EMBL and Heidelberg University, Faculty of Biosciences. /// Cell Biology and Biophysics Unit, European Molecular Biology Laboratory (EMBL), Meyerhofstrasse 1, 69117 Heidelberg, Germany. Electronic address: jonas.ries@embl.de.
30193107	10.1016/j.cell.2018.08.024	2018	2018		2019		2018	True	European Molecular Biology Laboratory (EMBL), Heidelberg, Germany.
30340043	10.1016/j.cell.2018.09.029	2018	2018	2018	2019		2018	True	European Molecular Biology Laboratory, Meyerhofstrasse 1, 69117 Heidelberg, Germany. Electronic address: nedelec@embl.de.
30445040	10.1016/j.cell.2018.10.039	2018	2018	2018	2019		2018	True	European Molecular Biology Laboratory, 38042 Grenoble, France.
30528433	10.1016/j.cell.2018.11.004	2018	2018		2019	2018	2018	True	German Cancer Research Center (DKFZ), Im Neuenheimer Feld 581, Heidelberg, Germany; European Molecular Biology Laboratory (EMBL), Meyerhofstrasse 1, Heidelberg, Germany; Collaboration for joint PhD degree between EMBL and Heidelberg University, Faculty of Biosciences. /// European Molecular Biology Laboratory (EMBL), Meyerhofstrasse 1, Heidelberg, Germany. /// European Molecular Biology Laboratory, European Bioinformatics Institute (EBI), Wellcome Genome Campus, Hinxton, Cambridge, UK.
29444437	10.1016/j.celrep.2018.01.061	2018	2018		2019		2018	True	Division of Epigenetics, DKFZ-ZMBH Alliance, German Cancer Research Center, Im Neuenheimer Feld 580, 69120 Heidelberg, Germany; Developmental Biology Unit, European Molecular Biology Laboratory, Meyerhofstrasse 1, 69117 Heidelberg, Germany.
29466744	10.1016/j.celrep.2018.01.071	2018	2018	2018	2019		2018	True	European Molecular Biology Laboratory (EMBL), Genome Biology Unit, Meyerhofstrasse 1, Heidelberg, Germany. /// European Molecular Biology Laboratory (EMBL), Genome Biology Unit, Meyerhofstrasse 1, Heidelberg, Germany. Electronic address: merten@embl.de.
29590630	10.1016/j.celrep.2018.03.022	2018	2018	2018	2019		2018	True	Structural and Computational Biology Unit & Cell Biology and Biophysics Unit, European Molecular Biology Laboratory (EMBL), Meyerhofstrasse 1, 69117 Heidelberg, Germany. /// Departments of Biology and Chemistry, Pharmacy and Geosciences, Johannes Gutenberg-University Mainz, Johannes-von-Mullerweg 6, 55128 Mainz, Germany; Institute of Molecular Biology (IMB), Ackermannweg 4, 55128 Mainz, Germany; Structural and Computational Biology Unit & Cell Biology and Biophysics Unit, European Molecular Biology Laboratory (EMBL), Meyerhofstrasse 1, 69117 Heidelberg, Germany. Electronic address: edlemke@uni-mainz.de.
29742422	10.1016/j.celrep.2018.04.031	2018	2018		2019		2018	True	European Molecular Biology Laboratory, European Bioinformatics Institute, EMBL-EBI, Wellcome Trust Genome Campus, Hinxton CB10 1SD, UK.
30184510	10.1016/j.celrep.2018.08.018	2018	2018	2019	2019		2018	True	European Molecular Biology Laboratory, European Bioinformatics Institute, Wellcome Genome Campus, Hinxton, Cambridge CB10 1SD, UK.
30257209	10.1016/j.celrep.2018.08.069	2018	2018		2020		2018	True	EMBL Grenoble, BP 181, 71 Avenue des Martyrs, 38042 Grenoble Cedex 9, France. /// EMBL Grenoble, BP 181, 71 Avenue des Martyrs, 38042 Grenoble Cedex 9, France; Leicester Institute of Structural and Chemical Biology, Department of Molecular and Cell Biology, University of Leicester, Lancaster Road, Leicester LE1 7RH, UK.
NA	10.1016/j.cels.2018.03.007							NA	NA
29953864	10.1016/j.cels.2018.05.012	2018	2018	2018	2019		2018	True	European Bioinformatics Institute, Hinxton, Cambridge, UK.
30172840	10.1016/j.cels.2018.06.011	2018	2018	2018	2019	2018	2018	True	European Molecular Biology Laboratory, European Bioinformatics Institute (EMBL-EBI), Wellcome Genome Campus, Hinxton, Cambridge CB10 1SD, UK; Cancer Research UK Cambridge Institute, University of Cambridge, Li Ka Shing Centre, Cambridge CB2 0RE, UK. /// European Molecular Biology Laboratory, European Bioinformatics Institute (EMBL-EBI), Wellcome Genome Campus, Hinxton, Cambridge CB10 1SD, UK; Cancer Research UK Cambridge Institute, University of Cambridge, Li Ka Shing Centre, Cambridge CB2 0RE, UK. Electronic address: marioni@ebi.ac.uk.
30031774	10.1016/j.cels.2018.06.012	2018	2018	2018	2020		2018	True	European Molecular Biology Laboratory, European Bioinformatics Institute, Hinxton, Cambridge, UK.
30195436	10.1016/j.cels.2018.08.001	2018	2018	2018	2019	2018	2018	True	Centre for Statistical Data Analysis, European Molecular Biology Laboratory (EMBL), Heidelberg, Germany.
30342881	10.1016/j.cels.2018.09.001	2018	2018		2019	2018	2018	True	European Molecular Biology Laboratory, Heidelberg, Germany.
30414923	10.1016/j.cels.2018.09.003	2018	2018	2019	2019	2018	2018	True	European Molecular Biology Laboratory (EMBL), Genome Biology Unit, Meyerhofstrasse 1, Heidelberg 69117, Germany. Electronic address: aleksandra.pekowska@embl.de. /// European Molecular Biology Laboratory (EMBL), Genome Biology Unit, Meyerhofstrasse 1, Heidelberg 69117, Germany. /// European Molecular Biology Laboratory (EMBL), Cell Biology and Biophysics Unit, Meyerhofstrasse 1, Heidelberg 69117, Germany. /// European Molecular Biology Laboratory (EMBL), Genome Biology Unit, Meyerhofstrasse 1, Heidelberg 69117, Germany; Stanford Genome Technology Center, 855 California Ave, Palo Alto, CA 94305, USA; Department of Genetics, Stanford University School of Medicine, Stanford, CA 94305, USA. /// European Molecular Biology Laboratory (EMBL), Genome Biology Unit, Meyerhofstrasse 1, Heidelberg 69117, Germany; European Molecular Biology Laboratory (EMBL), European Bioinformatics Institute, Wellcome Trust Genome Campus, Cambridge CB10 1SD, UK; Wellcome Trust - Medical Research Council Stem Cell Institute, University of Cambridge, Tennis Court Road, Cambridge CB2 1QR, UK. Electronic address: bertone@stemcells.cam.ac.uk. /// European Molecular Biology Laboratory (EMBL), Genome Biology Unit, Meyerhofstrasse 1, Heidelberg 69117, Germany. Electronic address: whuber@embl.de.
29396290	10.1016/j.chembiol.2018.01.005	2018	2018	2019	2019	2018	2018	True	EMBL, Hamburg, Germany.
