PMID	DOI	dateOfCreation	firstIndexDate	fullTextReceivedDate	dateOfRevision	electronicPublicationDate	firstPublicationDate	ML_Check	Affs
27845406	10.1038/srep37024	2016	2016	2016	2018	2016	2016	False	
27384774	10.1371/journal.pone.0158704	2016	2016	2016	2017	2016	2016	True	EMBL-EBI, Wellcome Trust Genome Campus, Hinxton, Cambridge, United Kingdom. /// Institute of Organic Chemistry and Biochemistry, Prague 6, Czech Republic.
NA	10.1002/cpt.280							NA	NA
27869790	10.1038/nmicrobiol.2016.216	2016	2016	2017	2019	2016	2016	True	Wellcome Trust Sanger Institute, Wellcome Genome Campus, Hinxton, Cambridgeshire CB10 1SA, UK. /// Laboratory of Parasitic Diseases, National Institute of Allergy and Infectious Diseases, NIH, Bethesda, Maryland 20892, USA. /// Institute of Parasitology, McGill University, Montreal, Quebec H9X 3V9, Canada. /// European Molecular Biology Laboratory, European Bioinformatics Institute, Wellcome Genome Campus, Hinxton, Cambridgeshire CB10 1SD, UK.
27824832	10.1038/nbt.3689	2016	2016	2017	2019		2016	True	Whitehead Institute for Biomedical Research, Nine Cambridge Center, Cambridge, Massachusetts, USA. /// Eawag: Swiss Federal Institute of Aquatic Science and Technology, Dübendorf, Switzerland. /// Department of Bioinformatics - BiGCaT, Maastricht University, Maastricht, the Netherlands. /// European Molecular Biology Laboratory - European Bioinformatics Institute (EMBL-EBI), Wellcome Trust Genome Campus, Hinxton, Cambridge, UK.
27067018	10.1038/nmeth.3806	2016	2016		2018	2016	2016	True	Protein Data Bank in Europe, European Molecular Biology Laboratory, European Bioinformatics Institute, Hinxton, Cambridge, UK.
27267125	10.1186/s13326-016-0072-2	2016	2016	2016	2017	2016	2016	True	MRC Human Genetics Unit, IGMM, University of Edinburgh, Crewe Road, Edinburgh, UK. /// Department of Computer Science, Heriot-Watt University, Edinburgh, UK. /// European Bioinformatics Institute (EMBL-EBI), European Molecular Biology Laboratory, Wellcome Trust Genome Campus, Hinxton, CB10 1SD, UK. tudose@ebi.ac.uk. /// European Bioinformatics Institute (EMBL-EBI), European Molecular Biology Laboratory, Wellcome Trust Genome Campus, Hinxton, CB10 1SD, UK.
26867217	10.1371/journal.pcbi.1004743	2016	2016	2016	2019	2016	2016	True	European Bioinformatics Institute (EMBL-EBI), Cambridge, United Kingdom. /// School of Computer Science, University of Manchester, Manchester, United Kingdom.
27059896	10.1186/s12859-016-1008-7	2016	2016	2016	2016	2016	2016	True	European Molecular Biology Laboratory, European Bioinformatics Institute (EMBL-EBI), Hinxton, Cambridgeshire, UK. /// Department of Intelligent Systems, Jožef Stefan Institute, Ljubljana, Slovenia.
27076901	10.1186/s13326-016-0061-5	2016	2016	2016	2017	2016	2016	True	Department of Biochemistry and Genetics, La Trobe Institute for Molecular Science, La Trobe University, Melbourne, VIC 3086 Australia ; Extracellular RNA Communication Consortium (ERCC), ᅟ, ᅟ /// European Bioinformatics Institute (EMBL-EBI), European Molecular Biology Laboratory, Wellcome Trust Genome Campus, Hinxton, Cambridge, CB10 1SD UK ; Gene Ontology Consortium (GOC), ᅟ, ᅟ /// Bioinformatics Research Laboratory, Department of Molecular & Human Genetics, Baylor College of Medicine, Houston, TX USA ; Extracellular RNA Communication Consortium (ERCC), ᅟ, ᅟ /// Department of Biochemistry and Genetics, La Trobe Institute for Molecular Science, La Trobe University, Melbourne, VIC 3086 Australia. /// Pacific Northwest Diabetes Research Institute, Seattle, WA USA ; Extracellular RNA Communication Consortium (ERCC), ᅟ, ᅟ /// Department of Biochemistry and Genetics, La Trobe Institute for Molecular Science, La Trobe University, Melbourne, VIC 3086 Australia ; International Society for Extracellular Vesicles (ISEV), ᅟ, ᅟ /// Division of Neuroscience and Behavior, National Institute on Drug Abuse (NIDA), Rockville, MD USA ; Extracellular RNA Communication Consortium (ERCC), ᅟ, ᅟ /// Department of Molecular and Experimental Medicine, The Scripps Research Institute, La Jolla, CA USA ; Extracellular RNA Communication Consortium (ERCC), ᅟ, ᅟ /// Department of Biochemistry and Genetics, La Trobe Institute for Molecular Science, La Trobe University, Melbourne, VIC 3086 Australia ; Extracellular RNA Communication Consortium (ERCC), ᅟ, ᅟ ; International Society for Extracellular Vesicles (ISEV), ᅟ, ᅟ
27840683	10.1107/S2052252516016018	2016	2016	2017	2017	2016	2016	True	European Bioinformatics Institute (EMBL-EBI), European Molecular Biology Laboratory , Welcome Genome Campus, Hinxton, Cambridge CB10 1SD, England.
28025201	10.1093/bioinformatics/btw714	2016	2016		2018		2017	True	European Bioinformatics Institute, Cambridge, UK. /// Data Science Institute, Imperial College London, London, UK. /// Division of Brain Sciences, Imperial College London, London, UK.
27863249	10.1016/j.cell.2016.09.037	2016	2016	2016	2017		2016	True	Nuclear Dynamics Programme, The Babraham Institute, Babraham Research Campus, Cambridge CB22 3AT, UK. /// JDRF/Wellcome Trust Diabetes and Inflammation Laboratory, Department of Medical Genetics, NIHR Cambridge Biomedical Research Centre, Cambridge Institute for Medical Research, University of Cambridge, Cambridge CB2 0XY, UK. /// European Molecular Biology Laboratory, European Bioinformatics Institute, Wellcome Genome Campus, Cambridge CB10 1SD, UK. /// European Molecular Biology Laboratory, European Bioinformatics Institute, Wellcome Genome Campus, Cambridge CB10 1SD, UK; Department of Haematology, University of Cambridge, Cambridge Biomedical Campus, Long Road, Cambridge CB2 0PT, UK; National Health Service Blood and Transplant, Cambridge Biomedical Campus, Long Road, Cambridge CB2 0PT, UK. /// MRC Biostatistics Unit, Cambridge Institute of Public Health, Cambridge Biomedical Campus, Cambridge CB2 0SR, UK. /// Department of Haematology, University of Cambridge, Cambridge Biomedical Campus, Long Road, Cambridge CB2 0PT, UK; National Health Service Blood and Transplant, Cambridge Biomedical Campus, Long Road, Cambridge CB2 0PT, UK. /// Department of Haematology, University of Cambridge, Cambridge Biomedical Campus, Long Road, Cambridge CB2 0PT, UK; National Health Service Blood and Transplant, Cambridge Biomedical Campus, Long Road, Cambridge CB2 0PT, UK; British Heart Foundation Centre of Excellence, Division of Cardiovascular Medicine, Addenbrooke's Hospital, Hills Road, Cambridge CB2 0QQ, UK; Department of Human Genetics, Wellcome Trust Sanger Institute, Wellcome Trust Genome Campus, Hinxton, Cambridge CB10 1HH, UK. /// Department of Haematology, University of Cambridge, Cambridge Biomedical Campus, Long Road, Cambridge CB2 0PT, UK; National Health Service Blood and Transplant, Cambridge Biomedical Campus, Long Road, Cambridge CB2 0PT, UK; British Heart Foundation Centre of Excellence, Division of Cardiovascular Medicine, Addenbrooke's Hospital, Hills Road, Cambridge CB2 0QQ, UK. Electronic address: mf471@cam.ac.uk. /// JDRF/Wellcome Trust Diabetes and Inflammation Laboratory, Department of Medical Genetics, NIHR Cambridge Biomedical Research Centre, Cambridge Institute for Medical Research, University of Cambridge, Cambridge CB2 0XY, UK; MRC Biostatistics Unit, Cambridge Institute of Public Health, Cambridge Biomedical Campus, Cambridge CB2 0SR, UK; Department of Medicine, University of Cambridge, Addenbrooke's Hospital, Cambridge CB2 0SP, UK. Electronic address: cew54@medschl.cam.ac.uk. /// Nuclear Dynamics Programme, The Babraham Institute, Babraham Research Campus, Cambridge CB22 3AT, UK. Electronic address: mikhail.spivakov@babraham.ac.uk. /// Nuclear Dynamics Programme, The Babraham Institute, Babraham Research Campus, Cambridge CB22 3AT, UK. Electronic address: peter.fraser@babraham.ac.uk.
26921276	10.1093/jhered/esw010	2016	2016	2017	2017	2016	2016	True	From the Division of Animal Sciences, Department of Agricultural and Food Sciences, University of Bologna, Bologna, Italy (Fontanesi); Vertebrate and Health Genomics, The Genome Analysis Centre (TGAC), Norwich, UK (Di Palma); Broad Institute of MIT and Harvard, Cambridge, MA (Di Palma); European Molecular Biology Laboratory, European Bioinformatics Institute, Wellcome Genome Campus, Hinxton, Cambridge, UK (Flicek); School of Life Sciences, Arizona State University, Tempe, AZ (Smith); Department of Wildlife, Fish, and Environmental Studies, Swedish University of Agricultural Sciences, Umeå, Sweden (Thulin); CIBIO, Centro de Investigação em Biodiversidade e Recursos Geneticos, Universidade do Porto, Campus Agrario de Vairao, Vairao, Portugal (Alves); and Departamento de Biologia, Faculdade de Ciências da Universidade do Porto, Porto, Portugal (Alves). luca.fontanesi@unibo.it pcalves@fc.up.pt. /// From the Division of Animal Sciences, Department of Agricultural and Food Sciences, University of Bologna, Bologna, Italy (Fontanesi); Vertebrate and Health Genomics, The Genome Analysis Centre (TGAC), Norwich, UK (Di Palma); Broad Institute of MIT and Harvard, Cambridge, MA (Di Palma); European Molecular Biology Laboratory, European Bioinformatics Institute, Wellcome Genome Campus, Hinxton, Cambridge, UK (Flicek); School of Life Sciences, Arizona State University, Tempe, AZ (Smith); Department of Wildlife, Fish, and Environmental Studies, Swedish University of Agricultural Sciences, Umeå, Sweden (Thulin); CIBIO, Centro de Investigação em Biodiversidade e Recursos Geneticos, Universidade do Porto, Campus Agrario de Vairao, Vairao, Portugal (Alves); and Departamento de Biologia, Faculdade de Ciências da Universidade do Porto, Porto, Portugal (Alves).
27846393	10.1016/j.ccell.2016.09.014	2016	2016	2018	2018		2016	True	Institute of Human Genetics, Christian-Albrechts University, Kiel 24105, Germany. /// European Molecular Biology Laboratory, European Bioinformatics Institute (EMBL-EBI), Wellcome Trust Genome Campus, Hinxton CB10 1SD, UK. /// Molecular Biology, NCMLS, FNWI, Radboud University, Nijmegen 6500 HB, the Netherlands.
28025348	10.1093/database/baw161	2016	2016	2017	2019	2016	2016	True	Selventa, Cambridge, MA 02140, USA. /// European Molecular Biology Laboratory, European Bioinformatics Institute (EMBL-EBI), Wellcome Genome Campus, Hinxton, Cambridge CB10 1SD, UK. /// SIB Swiss Institute of Bioinformatics, Lausanne, Switzerland.
27824834	10.1038/nbt.3721	2016	2016		2018		2016	True	Wellcome Trust Sanger Institute, Cambridge, UK. /// Koch Institute for Integrative Cancer Research, Massachusetts Institute of Technology, Cambridge, Massachusetts, USA. /// European Bioinformatics Institute, European Molecular Biology Laboratory, Cambridge, UK.
27297177	10.1038/srep27740	2016	2016	2016	2018	2016	2016	True	Institute of Pharmaceutical Science, King's College London, United Kingdom. /// European Bioinformatics Institute, Wellcome Genome Campus, Cambridge, United Kingdom. /// Department of Chemistry, King's College London, United Kingdom.
27268795	10.1186/s13059-016-0974-4	2016	2016	2016	2020	2016	2016	True	European Molecular Biology Laboratory, European Bioinformatics Institute, Wellcome Genome Campus, Hinxton, Cambridge, CB10 1SD, UK. wm2@ebi.ac.uk. /// European Molecular Biology Laboratory, European Bioinformatics Institute, Wellcome Genome Campus, Hinxton, Cambridge, CB10 1SD, UK. /// European Molecular Biology Laboratory, European Bioinformatics Institute, Wellcome Genome Campus, Hinxton, Cambridge, CB10 1SD, UK. fiona@ebi.ac.uk.
27390860	10.1371/journal.pone.0158896	2016	2016	2016	2017	2016	2016	True	European Molecular Biology Laboratory, European Bioinformatics Institute (EMBL-EBI), Cambridge, United Kingdom. /// Softberry Inc., 116 Radio Circle, Suite 400, Mount Kisco, NY 10549, United States of America.
27572163	10.1038/nmicrobiol.2015.30	2016	2016	2016	2018	2016	2016	True	Department of Biochemistry and Cambridge Systems Biology Centre, University of Cambridge, 80 Tennis Court Rd, Cambridge, United Kingdom. /// European Molecular Biology Laboratory, European Bioinformatics Institute, Hinxton, United Kingdom. /// Max Planck Institute for Molecular Genetics, Ihnestrasse 73, Berlin, Germany.
27114493	10.1093/database/baw055	2016	2016	2016	2019	2016	2016	True	European Molecular Biology Laboratory, European Bioinformatics Institute (EMBL-EBI), Wellcome Trust Genome Campus, Hinxton, Cambridge, CB10 1SD, UK.
27774140	10.1039/c6md00065g	2016	2016	2016	2017	2016	2016	True	BIOVIA , a Dassault Systèmes brand , 334 Cambridge Science Park , Cambridge CB4 0WN , UK. /// European Molecular Biology Laboratory , European Bioinformatics Institute (EMBL-EBI) , Wellcome Genome Campus , Hinxton , Cambridge CB10 1SD , UK. /// GlaxoSmithKline , Medicines Research Centre , Stevenage SG1 2NY , UK. /// Swiss Institute of Bioinformatics , CALIPHO Group , CMU Rue Michel-Servet 1 , 1211 Geneva 4 , Switzerland ; Nestlé Institute of Health Sciences SA , EPFL Innovation Park, Bâtiment H , 1015 Lausanne , Switzerland. /// Department of Bioinformatics - BiGCaT , P.O. Box 616 , UNS50 Box19 , NL-6200MD Maastricht , The Netherlands. /// Eli Lilly and Company Ltd. , Lilly Research Centre , Erl Wood Manor, Sunninghill Road , Windlesham , Surrey GU20 6PH , England , UK.
27694208	10.1093/database/baw132	2016	2016	2016	2018	2016	2016	True	Department of Molecular Genetics, Weizmann Institute of Science, Rehovot, 76100, Israel. /// HUGO Gene Nomenclature Committee, European Molecular Biology Laboratory, European Bioinformatics Institute, Wellcome Genome Campus, Hinxton, Cambridgeshire CB10 1SD, UK.
27195102	10.1186/s13326-016-0074-0	2016	2016	2016	2017	2016	2016	True	European Bioinformatics Institute (EMBL-EBI), European Molecular Biology Laboratory, Wellcome Trust Genome Campus, Hinxton Cambridge, CB10 1SD UK.
26285779	10.1007/s00405-015-3747-x	2016	2015		2017	2015	2015	True	European Molecular Biology Laboratory, Wellcome Trust Genome Campus, European Bioinformatics Institute (EMBL-EBI), Hinxton, Cambridge, CB10 1SD, UK.
26740526	10.1093/bioinformatics/btv762	2016	2016		2018	2016	2016	True	European Molecular Biology Laboratory, European Bioinformatics Institute, EMBL-EBI, Wellcome Trust Genome Campus, Hinxton, UK.
26901065	10.1038/ng.3513	2016	2016	2016	2019	2016	2016	True	Wellcome Trust Centre for Human Genetics, University of Oxford, Oxford, UK. /// Human Genetics, Wellcome Trust Sanger Institute, Wellcome Trust Genome Campus, Hinxton, UK. /// European Bioinformatics Institute (EMBL-EBI), Wellcome Trust Genome Campus, Hinxton, UK. /// Aviagen, Ltd., Newbridge, UK.
26807915	10.1016/j.bbabio.2016.01.012	2016	2016		2016	2016	2016	True	European Bioinformatics Institute, Cambridge CB10 1SD, UK. /// Institute of Science and Technology Austria (IST Austria), Am Campus 1, 3400 Klosterneuburg, Austria. Electronic address: sazanov@ist.ac.at.
26871632	10.1016/j.cell.2015.12.033	2016	2016	2016	2017		2016	True	Welcome Trust-Medical Research Council Stem Cell Institute and Department of Biochemistry, University of Cambridge, Tennis Court Road, Cambridge CB2 1QR, UK.
27812108	10.1371/journal.pgen.1006388	2016	2016	2016	2019	2016	2016	True	European Molecular Biology Laboratory, European Bioinformatics Institute (EBI), Wellcome Trust Genome Campus, Hinxton, Cambridge, United Kingdom.
27863248	10.1016/j.cell.2016.09.034	2016	2016	2018	2018		2016	True	European Molecular Biology Laboratory, European Bioinformatics Institute, Wellcome Genome Campus, Hinxton, Cambridge CB10 1SD, UK.
27043882	10.1038/nmeth.3830	2016	2016	2016	2019	2016	2016	True	Swiss-Prot Group, Swiss Institute of Bioinformatics, Geneva, Switzerland. /// Department of Genetics, Evolution, and Environment, University College London, London, UK. /// European Molecular Biology Laboratory, European Bioinformatics Institute, Wellcome Trust Genome Campus, Hinxton, UK. /// Institute of Molecular Life Sciences, University of Zurich, Zurich, Switzerland.
27423402	10.1016/j.jmb.2016.07.003	2016	2016	2016	2018	2016	2016	True	EMBL-EBI, Wellcome Trust Genome Campus, Hinxton, Cambridge CB10 1SD, UK. /// EMBL-EBI, Wellcome Trust Genome Campus, Hinxton, Cambridge CB10 1SD, UK. Electronic address: roman@ebi.ac.uk.
27992783	10.1016/j.jmr.2016.12.001	2016	2016		2018	2016	2016	False	
26861302	10.3390/ijms17020171	2016	2016	2016	2020	2016	2016	True	Wellcome Trust-Medical Research Council Stem Cell Institute, Clifford Allbutt Building-Cambridge Biosciences Campus, Department of Clinical Neurosciences, and NIHR Biomedical Research Centre, University of Cambridge, Hills Road CB2 0PY, UK. ni238@cam.ac.uk. /// Wellcome Trust-Medical Research Council Stem Cell Institute, Clifford Allbutt Building-Cambridge Biosciences Campus, Department of Clinical Neurosciences, and NIHR Biomedical Research Centre, University of Cambridge, Hills Road CB2 0PY, UK. tl344@cam.ac.uk. /// Wellcome Trust-Medical Research Council Stem Cell Institute, Clifford Allbutt Building-Cambridge Biosciences Campus, Department of Clinical Neurosciences, and NIHR Biomedical Research Centre, University of Cambridge, Hills Road CB2 0PY, UK. fag21@cam.ac.uk. /// Wellcome Trust-Medical Research Council Stem Cell Institute, Clifford Allbutt Building-Cambridge Biosciences Campus, Department of Clinical Neurosciences, and NIHR Biomedical Research Centre, University of Cambridge, Hills Road CB2 0PY, UK. bv270@cam.ac.uk. /// Wellcome Trust-Medical Research Council Stem Cell Institute, Clifford Allbutt Building-Cambridge Biosciences Campus, Department of Clinical Neurosciences, and NIHR Biomedical Research Centre, University of Cambridge, Hills Road CB2 0PY, UK. spp24@cam.ac.uk.
27341204	10.1371/journal.pone.0158185	2016	2016	2016	2019	2016	2016	True	European Molecular Biology Laboratory, European Bioinformatics Institute, Wellcome Trust Genome Campus, Hinxton, Cambridge, United Kingdom.
27681430	10.1016/j.celrep.2016.08.087	2016	2016	2016	2017		2016	True	Epigenetics Programme, Babraham Institute, Cambridge CB22 3AT, UK. Electronic address: eckersleym@babraham.ac.uk. /// EMBL-European Bioinformatics Institute, Wellcome Genome Campus, Hinxton, Cambridge CB10 1SD, UK; Wellcome Trust Sanger Institute, Wellcome Genome Campus, Hinxton, Cambridge CB10 1SA, UK. /// Epigenetics Programme, Babraham Institute, Cambridge CB22 3AT, UK. /// Laboratory of EpiGenetics, Saarland University, Campus A2 4, 66123 Saarbrücken, Germany. /// Bioinformatics Group, Babraham Institute, Cambridge CB22 3AQ, UK. /// EMBL-European Bioinformatics Institute, Wellcome Genome Campus, Hinxton, Cambridge CB10 1SD, UK; Wellcome Trust Sanger Institute, Wellcome Genome Campus, Hinxton, Cambridge CB10 1SA, UK; Centre of Biological Engineering, University of Minho, Campus de Gualtar, 4710-057 Braga, Portugal. /// Epigenetics Programme, Babraham Institute, Cambridge CB22 3AT, UK; Wellcome Trust Sanger Institute, Wellcome Genome Campus, Hinxton, Cambridge CB10 1SA, UK. Electronic address: wolf.reik@babraham.ac.uk.
27761201	10.1016/j.csbj.2016.09.002	2016	2016	2016	2017	2016	2016	True	Babraham Institute, Babraham Research Campus, Cambridge CB22 3AT, UK. /// European Molecular Biology Laboratory, European Bioinformatics Institute (EMBL-EBI), Wellcome Trust Genome Campus, Hinxton, Cambridge CB10 1SD, UK. /// GlaxoSmithKline, Gunnels Wood Road, Stevenage, Hertfordshire SG1 2NY, UK.
27701404	10.1038/nbt.3685	2016	2016	2017	2017	2016	2016	True	Department of Biology, Institute of Molecular Systems Biology, Eidgenoessische Technische Hochschule (IMSB-ETH) Zurich, Zurich, Switzerland. /// European Molecular Biology Laboratory, European Bioinformatics Institute (EMBL-EBI), Hinxton, UK.
27467575	10.1371/journal.ppat.1005763	2016	2016	2016	2019	2016	2016	True	School of Life Sciences, University of Nottingham, Nottingham, Nottinghamshire, England, United Kingdom. /// Internal Medicine, Yale University, New Haven, Connecticut, United States of America. /// Health Sciences and Technology/Institute for Medical Engineering and Science, Massachusetts Institute of Technology, Cambridge, Massachusetts, United States of America. /// SCYNEXIS, Inc., Durham, North Carolina, United States of America. /// Department of Life Sciences, Imperial College London, London, England, United Kingdom. /// Broad Institute, Cambridge, Massachusetts, United States of America. /// Tropical Parasitic Diseases Unit, Northwick Park Institute for Medical Research, Harrow, Middlesex, England, United Kingdom. /// Institute of Parasitology, University of Berne, Bern, Switzerland. /// Institute for Science and Technology in Medicine, Keele University, Keele, Staffordshire, United Kingdom. /// Graduate Program in Bioinformatics, Universidade Federal de Minas Gerais, Belo Horizonte, Minas Gerais, Brazil. /// ChEMBL group, European Molecular Biology Laboratory-European Bioinformatics Institute (EMBL-EBI), Hinxton, Cambridgeshire, United Kingdom. /// Genomics Institute of the Novartis Research Foundation, San Diego, California, United States of America. /// The Jenner Institute, University of Oxford, Oxford, England, United Kingdom.
26887813	10.1186/s13059-016-0888-1	2016	2016	2016	2016	2016	2016	True	Wellcome Trust Sanger Institute, Wellcome Genome Campus, Hinxton, Cambridge, CB10 1SA, UK. ti243@cam.ac.uk. /// European Molecular Biology Laboratory, European Bioinformatics Institute (EMBL-EBI), Wellcome Trust Genome Campus, Hinxton, Cambridge, CB10 1SD, UK. /// Wellcome Trust Sanger Institute, Wellcome Genome Campus, Hinxton, Cambridge, CB10 1SA, UK. /// National Health Service (NHS) Blood and Transplant, Cambridge Biomedical Campus, Cambridge, CB2 0PT, UK. /// University of Cambridge, Cancer Research UK Cambridge Institute, Robinson Way, Cambridge, CB2 0RE, UK. /// Cavendish Laboratory, Dept Physics, University of Cambridge, JJ Thomson Avenue, Cambridge, CB3 0HE, UK. st9@sanger.ac.uk.
26856261	10.1038/ncomms10507	2016	2016	2016	2019	2016	2016	True	VectorBase/EMBL-EBI, Wellcome Trust Genome Campus, Cambridge CB10 1SD, UK. /// J. Craig Venter Institute, Rockville, Maryland 20850, USA. /// Genome Sequencing and Analysis Program, Broad Institute, Cambridge, Massachusetts 02142, USA. /// Genetics, Bioinformatics, and Computational Biology Program, Virginia Bioinformatics Institute at Virginia Tech, Blacksburg, Virginia 24061, USA. /// Department of Pathology, Cambridge Genomic Services, University of Cambridge, Cambridge CB2 1QP, UK. /// Cancer Genome Project, Wellcome Trust Sanger Institute, Hinxton CB10 1SA, UK. /// The Broad Institute of MIT and Harvard, Cambridge, Massachusetts 02142, USA.
27851971	10.1016/j.celrep.2016.10.054	2016	2016	2018	2018		2016	True	Department of Haematology, University of Cambridge, Cambridge Biomedical Campus, Long Road, CB2 0PT Cambridge, UK; National Health Service (NHS) Blood and Transplant, Cambridge Biomedical Campus, Long Road, CB2 0PT Cambridge, UK. /// Department of Haematology, University of Cambridge, Cambridge Biomedical Campus, Long Road, CB2 0PT Cambridge, UK; National Health Service (NHS) Blood and Transplant, Cambridge Biomedical Campus, Long Road, CB2 0PT Cambridge, UK; British Heart Foundation Centre of Excellence, University of Cambridge, Cambridge Biomedical Campus, Long Road, CB2 0QQ Cambridge, UK; Department of Human Genetics, The Wellcome Trust Sanger Institute, Wellcome Trust Genome Campus, Hinxton, CB10 1HH Cambridge, UK. /// European Molecular Biology Laboratory, European Bioinformatics Institute, Wellcome Genome Campus, Hinxton, CB10 1SD Cambridge, UK. /// Department of Haematology, University of Cambridge, Cambridge Biomedical Campus, Long Road, CB2 0PT Cambridge, UK; National Health Service (NHS) Blood and Transplant, Cambridge Biomedical Campus, Long Road, CB2 0PT Cambridge, UK; British Heart Foundation Centre of Excellence, University of Cambridge, Cambridge Biomedical Campus, Long Road, CB2 0QQ Cambridge, UK.
26901648	10.1038/nmeth.3773	2016	2016	2016	2019	2016	2016	True	MRC Biostatistics Unit, Cambridge Institute of Public Health, Cambridge, UK. /// European Molecular Biology Laboratory, European Bioinformatics Institute (EMBL-EBI), Wellcome Trust Genome Campus, Hinxton, UK. /// Statistical and Applied Mathematical Sciences Institute, Research Triangle Park, North Carolina, USA.
27580029	10.1038/nature19353	2016	2016	2017	2018		2016	True	Medical Research Council Cancer Unit, University of Cambridge, Cambridge CB2 0XZ, UK. /// European Molecular Biology Laboratory (EMBL), European Bioinformatics Institute (EBI), Cambridge CB10 1SD, UK. /// Department of Oncology, Uro-Oncology Research Group, University of Cambridge, Cambridge CB2 0Ql, UK. /// Cancer Research UK Beatson Institute, Glasgow G61 1BD, UK. /// Department of Physiology, Development and Neuroscience, University of Cambridge, Cambridge CB2 3DY, UK. /// Department of Haematology, Cambridge Institute for Medical Research and Addenbrooke's Hospital, and Wellcome Trust-Medical Research Council Cambridge Stem Cell Institute, University of Cambridge, Cambridge CB2 0XY, UK. /// Department of Pathology, University of Cambridge, Cambridge CB2 0QQ, UK. /// Academic Urology Group, Department of Surgery, University of Cambridge, Cambridge CB2 0QQ, UK. /// Department of Medical Genetics, University of Cambridge, Cambridge CB2 0QQ, UK. /// Cambridge Institute for Medical Research, University of Cambridge, Cambridge CB2 0XY, UK.
28025334	10.1093/database/baw139	2016	2016	2017	2019	2016	2016	True	European Molecular Biology Laboratory, European Bioinformatics Institute (EMBL-EBI), Wellcome Trust Genome Campus, Hinxton, Cambridge CB10 1SD, UK. /// SIB Swiss Institute of Bioinformatics, Centre Medical Universitaire, 1 rue Michel Servet, Geneva 4 1211, Switzerland. /// European Molecular Biology Laboratory, European Bioinformatics Institute (EMBL-EBI), Wellcome Trust Genome Campus, Hinxton, Cambridge CB10 1SD, UK martin@ebi.ac.uk.
NA	10.1128/mbio.00830-16							NA	NA
